CLND_DT,LOC_ID,SALE_AMT
19-SEP-22,96,69335.37
19-SEP-22,31,1916706.77
19-SEP-22,33,2864816.98
19-SEP-22,3,1990309.53
19-SEP-22,41,0
19-SEP-22,7,2748081.97
19-SEP-22,66,0
19-SEP-22,2,3592748.81
19-SEP-22,39,2651064.59
19-SEP-22,13,2296070.42
19-SEP-22,37,1644355.94
19-SEP-22,30,1855150.37
19-SEP-22,17,1907998.04
19-SEP-22,10,2364385.18
19-SEP-22,12,4084628.95
19-SEP-22,32,1155903.19
19-SEP-22,36,857597.41
19-SEP-22,6,1765249.17
19-SEP-22,9,2647944.63
19-SEP-22,34,2171796.13
19-SEP-22,1,3491270.08
19-SEP-22,18,201256.62
19-SEP-22,16,3697929.81
19-SEP-22,14,1056831.71
