STR_NO,STR_NA,TDATE,JTYPE,STIME,TTIME,GOO_NO,PRDTNAME,PRDTSPEC,BARCODE,PRDTDEPT,PRDTDEPTNAME,VIQTY,VIAMT,VIAJQTY,VIAJAMT,VRQTY,VRAMT,VRAJQTY,VRAJAMT,WIQTY,WIAMT,WIAJQTY,WIAJAMT,WRQTY,WRAMT,WRAJQTY,WRAJAMT,TNFIQTY,TNFIAMT,TNFOQTY,TNFOAMT,SKIQTY,SKIAMT,SKOQTY,SKOAMT,SQTY,SAMT,RQTY,RAMT,SOQTY,SOAMT,SIQTY,SIAMT,FUQTY,FUAMT,DEQTY,DEAMT
96,雙十店,02-10月-22,2,0000,0000,533958,冠軍法國麵包,265g +-9%個,,18,烘焙課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.33,0,0,0,0,0,0,1,49.52,0,0,1,49.52,0,0,0,0,0,0
36,嘉義店,02-10月-22,2,0000,0000,356937,嬌生嬰兒溫和潤膚乳500ml,500ml,4710032520174,28,美容用品課,0,0,0,0,0,0,0,0,12,2185.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,斗南店,02-10月-22,2,0000,0000,934275,一匙靈抗菌EX科技潔淨洗衣精補充包,1.5kg,4710363545525,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,36,2539.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,712.36,0,0,11,712.36,0,0,0,0,0,0
10,土城店,02-10月-22,2,0000,0000,785148,GATSBY強黏造型噴霧(小),45g,4902806584028,28,美容用品課,0,0,0,0,0,0,0,0,6,422.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,忠明店,02-10月-22,2,0000,0000,15367,有機空心菜 250g/袋,250g/袋,4713837001121,11,蔬菜課,3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,128,0,0,7,128,0,0,0,0,0,0
13,中壢店,02-10月-22,2,0000,0000,617067,GATSBY造型髮雕霜(濕潤性) 200g/條,200g/條,4902806013245,28,美容用品課,0,0,0,0,0,0,0,0,3,317.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,湳雅店,02-10月-22,2,0000,0000,305987,潔霜S浴廁專用清潔劑  (2入),650g*2,4710689136360,69,家庭清潔洗劑課,0,0,0,0,0,0,0,0,12,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,333.35,0,0,5,333.35,0,0,0,0,0,0
30,碧潭店,02-10月-22,2,0000,0000,869034,義美多穀物蘇打餅乾(黃金胚芽)135g,135g/盒,4710126001022,23,糖果餅乾課,0,0,0,0,0,0,0,0,24,720.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,中壢店,02-10月-22,2,0000,0000,904659,威拂魔撢補充包 4Px3包 粉紅,4P*3,4710054951222,61,家庭清潔用具課,0,0,0,0,0,0,0,0,8,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,151.43,0,0,1,151.43,0,0,0,0,0,0
16,南湖店,02-10月-22,2,0000,0000,365154,日清合味道XO醬海鮮味杯麵,70g/杯,4897878230044,66,進口食品課,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-66.6,0,0,0,0,5,161.9,0,0,5,161.9,0,0,0,0,0,0
