"妙管家浴廁清潔劑 720g*2瓶","720g*2瓶","4710303235639","69","家庭清潔洗劑課"
"原萃日式焙茶寶特580MLX4","","4710018324147","21","飲料課"
"芋頭塊 300g/包","300g/包","4717060604715","11","蔬菜課"
"MT米格長袖上衣 藍#L","MT-C6003","4711033182255","57","男女內著課"
"好來超氟牙膏 200g*3","200gx3支/組","4710168719589","28","美容用品課"
"三花急暖輕著男圓領衫 M","#718","4711570071876","57","男女內著課"
"actuel密封保鮮盒-長型500ml","長150x寬108x高59mm","4710970847081","33","廚房與餐具用品課"
"雀巢咖啡醇品經典風味補充包200g","200g/包","9556001140241","26","沖調課"
"Haagen-Dazs抹茶冰淇淋 473ml/盒","473ml/盒","074570703555","16","冷凍課"
"LG 智慧變頻電冰箱186公升精緻銀","＊GN-I235DS (G$500)","8806087509885","42","大家電"
"台灣香蕉(約15cm+-5%/支)/公斤","15cm/支","","12","水果課"
"禾聯14吋變頻DC風扇HDF-14AH520","HDF-14AH520","4710273763286","43","小家電"
"冷藏肉-爌肉片(快樂豬)300g/盒","","","14","肉品課"
"台灣冰山萵苣(履歷)120g+-5%/袋","120g+-5%/袋","4713327400502","11","蔬菜課"
"義美鮮奶茶900ml","900ml","4710126198470","15","冷藏課"
"大拇指非基改腐竹100g/盒","100g/盒","4710970805104","20","米,麵,南北貨課"
"橘之屋 耐高溫隔熱手套-2入","26*18.5*2.5cm","4710969839400","33","廚房與餐具用品課"
"KA針織格子平口褲 L","KA01","4710768464117","57","男女內著課"
"健康廚房和風洋蔥沾拌淋醬 200ml/瓶","200ml/瓶","4710063045226","25","食用油&罐頭醬料課"
"KINYO 高感立體聲藍牙耳機BTE3940","","4713057454387","47","電器3C配件"
"有機A菜 250g/袋","250g/袋","4713837001022","11","蔬菜課"
"KINYO 藍牙2.1讀卡木質音箱KY1755","","4713057441752","47","電器3C配件"
"元味香米血糕300g/包","300g/包","4716872570119","15","冷藏課"
"威猛先生地板清潔劑加侖-清新","3785ml /1入","4710314451899","69","家庭清潔洗劑課"
"崇德發枸杞桂圓銀耳露250g/瓶","250g","4714665991332","21","飲料課"
"開運香","300g/D111","4712893100991","61","家庭清潔用具課"
"GB冰一點水壺550ml 紫色","","4713057761324","33","廚房與餐具用品課"
"大拇指正式打摺西褲- 黑#34""","29""~40"" 黑","4710970806279","51","男裝課"
"鹹豬肉切片","2kg/包，7包/箱","","17","熟餐課"
"OP生物抗菌密封袋 L","17入","4710660883443","69","家庭清潔洗劑課"
"黃尾袋鼠SANGRIA白葡萄酒","","839743001681","30","葡萄酒"
"牛頭牌土豆一代212219 黑#7","乙烯醋酸乙烯酯/黑/咖/藍/桃","","56","鞋課"
"羽毛閃燈仙女棒","GTH-0458","4714041276718","70","家庭裝飾品課"
"超值素色浴巾 藍","70x125cm","","32","家用紡品"
"泰泉芭樂乾(內附梅粉)175g/袋","175g/袋","4719635005460","23","糖果餅乾課"
"冷藏肉-豬肋小排骨(思牧)/公斤","kg","","14","肉品課"
"Fila彈力舒適圓領背心 M","FM0950C","4713319013932","57","男女內著課"
"Airwaves 酷涼FUN塊 冰爽檸檬 37.4g","37.4g","4710716336473","23","糖果餅乾課"
"台製大型園藝花剪","","4717677207163","39","戶外休閒"
"林鳳營特濃重乳優格(無加糖)","400g/杯","4710063338038","15","冷藏課"
"法國特福礦石灰不沾炒鍋加蓋34cm","B2269695","3168430296909","33","廚房與餐具用品課"
"CR熱魔力升溫保暖圓領 M","","4716022662824","57","男女內著課"
"日式超大螢幕溫濕度計","GM-851","4710302613612","34","家庭修繕"
"成功雙頭螢光筆(3支入)","1233-5","4714255123358","38","文具"
"HT純棉針織平口褲 L","HT-C12009","4713319531443","57","男女內著課"
"華元波的多洋芋片(蚵仔煎味)300g","300g/包","4710176038962","23","糖果餅乾課"
"祕魯藍莓(約125克+-5%)/盒","約125g+-5%/盒","815887010277","12","水果課"
"紐西蘭紫洋蔥600g+-5%/袋","600g+-5%/袋","","11","蔬菜課"
"易壓萬能型修正液-藍2入","PZL102-2A","4711577029160","38","文具"
"快又通疏通器","","4710635862855","34","家庭修繕"
"MT智能鎖溫蓄熱衣 深灰#XL","MT-C6004","4711033182293","57","男女內著課"
"得意的一天純芥花油2.4L/瓶","2.4L","4710043032246","25","食用油&罐頭醬料課"
"強效浴廁刷","1入/C0011","4711132762921","61","家庭清潔用具課"
"北海道牛奶蛋糕","60g+-9%/個","4710970687175","18","烘焙課"
"冷藏肉-豬小排(雅勝) 公斤","","","14","肉品課"
"美吾髮水溶性保濕髮雕露 240ml/瓶","240ml/瓶","4710076415061","28","美容用品課"
"大拇指男彈力工作牛仔褲 中藍#35""","","","51","男裝課"
"義美古早傳統豆奶-原味 2000ml/瓶","2000ml/瓶","4710126194397","15","冷藏課"
"貓皇族滿足罐鮪魚雞肉鮭魚","170g/罐PTW1359","4711404013591","22","寵物課"
"台製雙用園藝工具","","4717677207187","39","戶外休閒"
"越南青花菜 180g+-5%/粒","180g+-5%/粒","","11","蔬菜課"
"多喝水微鹼性竹炭離子水850ml","850ml/瓶","4710110232418","21","飲料課"
"ROASTA冷研無糖黑咖啡455ml*4瓶(組)","455ml","4710421074950","21","飲料課"
"洋蔥小丁 1kg/包","1kg/包","4717060601417","18","烘焙課"
"情侶家居拖91033 水藍#36/37","","4715982116958","56","鞋課"
"可愛絨毛童布拖#A024# 綠#32","絨布/EVA;32-35","4711106985844","56","鞋課"
"創見1TB  SJ25M3G 防震硬碟 灰色","","760557840695","47","電器3C配件"
